,masa_A,
t,r,θr
6.053,47.09,-1.3
06.07,47.15,-3.1
6.087,47.18,-4.9
6.103,47.21,-6.7
6.12,47.26,-8.4
6.137,47.3,-10
6.153,47.34,-11.7
6.17,47.36,-13.2
6.187,47.43,-14.6
6.203,47.47,-15.9
6.22,47.5,-17.1
6.237,47.52,-18.3
6.253,47.57,-19.3
6.27,47.58,-20.2
6.287,47.62,-20.9
6.303,47.62,-21.5
6.32,47.62,-22
6.337,47.65,-22.3
6.353,47.66,-22.5
6.37,47.67,-22.5
6.387,47.68,-22.4
6.403,47.69,-22.2
6.42,47.69,-21.8
6.437,47.69,-21.3
6.453,47.68,-20.6
6.47,47.66,-19.8
6.487,47.64,-18.9
6.503,47.64,-17.9
6.52,47.61,-16.7
6.537,47.57,-15.5
6.553,47.55,-14.2
6.57,47.51,-12.7
6.587,47.49,-11.2
6.603,47.44,-9.6
6.62,47.4,-7.9
6.637,47.37,-6.2
6.653,47.33,-4.4
6.67,47.31,-2.6
6.687,47.26,-0.8
6.703,47.23,0.9
6.72,47.2,2.7
6.737,47.16,4.5
6.753,47.13,6.3
6.77,47.08,8
6.787,47.07,9.6
6.803,47.02,11.2
6.822,47.01,12.7
6.838,46.96,14.1
6.855,46.93,15.5
6.872,46.89,16.7
6.888,46.86,17.9
6.905,46.85,18.9
6.922,46.83,19.8
6.938,46.83,20.6
6.955,46.82,21.2
6.972,46.82,21.7
6.988,46.79,22.1
7.005,46.79,22.3
7.022,46.79,22.4
7.038,46.79,22.3
7.055,46.77,22.1
7.072,46.79,21.7
7.088,46.76,21.2
7.105,46.75,20.6
7.122,46.73,19.8
7.138,46.74,18.8
7.155,46.77,17.8
7.172,46.75,16.7
7.188,46.79,15.4
7.205,46.8,14.1
7.222,46.79,12.7
7.238,46.84,11.2
7.255,46.87,9.6
7.272,46.91,8
7.288,46.91,6.2
7.305,46.96,4.5
7.322,47,2.8
7.338,47.03,1
7.355,47.07,-0.8
7.372,47.1,-2.6
7.388,47.16,-4.3
7.405,47.2,-6.1
7.422,47.25,-7.8
7.438,47.3,-9.4
7.455,47.32,-11
7.472,47.38,-12.5
7.488,47.42,-13.9
7.505,47.46,-15.3
7.522,47.49,-16.5
7.538,47.54,-17.6
7.555,47.56,-18.6
7.572,47.6,-19.5
7.588,47.62,-20.2
7.605,47.66,-20.9
7.622,47.67,-21.4
7.638,47.69,-21.7
7.655,47.71,-21.9
7.672,47.72,-22
7.688,47.73,-21.9
7.705,47.75,-21.7
7.722,47.74,-21.4
7.738,47.74,-20.9
7.755,47.74,-20.3
7.772,47.73,-19.6
7.788,47.7,-18.7
