,masa_A,
3.235,18.26,-7.9
3.252,18.29,-9.8
3.268,18.29,-11.5
3.285,18.3,-13
3.302,18.31,-14.2
3.318,18.32,-15.2
3.335,18.33,-16
3.352,18.34,-16.5
3.368,18.34,-16.7
3.385,18.33,-16.6
3.402,18.33,-16.2
3.418,18.34,-15.6
3.435,18.32,-14.7
3.452,18.33,-13.5
3.468,18.32,-12.2
3.485,18.31,-10.5
3.502,18.29,-8.8
3.518,18.27,-7
3.535,18.23,-5.1
3.552,18.23,-3
3.568,18.19,-0.8
3.585,18.16,1.1
3.602,18.15,3.2
3.618,18.11,5.1
3.635,18.08,7
3.652,18.04,8.6
3.668,18.03,10.2
3.685,17.99,11.5
3.702,18,12.6
3.718,17.99,13.5
3.735,17.97,14
3.752,17.95,14.2
3.768,17.94,14.2
3.785,17.97,13.9
3.802,17.98,13.3
3.818,18,12.4
3.835,18,11.2
3.852,18.04,9.9
3.868,18.04,8.3
3.885,18.08,6.6
3.902,18.09,4.7
3.918,18.11,2.8
3.935,18.14,0.7
3.952,18.16,-1.3
3.968,18.19,-3.3
3.985,18.22,-5.3
4.002,18.24,-7.2
4.018,18.26,-8.9
4.035,18.27,-10.5
4.052,18.29,-11.9
4.068,18.3,-13.2
4.087,18.3,-14.2
4.103,18.32,-14.9
4.12,18.32,-15.4
4.137,18.32,-15.7
4.153,18.34,-15.7
4.17,18.32,-15.4
4.187,18.32,-14.8
4.203,18.32,-14
4.22,18.31,-13
4.237,18.31,-11.7
4.253,18.29,-10.2
4.27,18.29,-8.7
4.287,18.28,-7
4.303,18.25,-5.1
4.32,18.22,-3.2
4.337,18.2,-1.3
4.353,18.18,0.6
4.37,18.16,2.6
4.387,18.14,4.5
4.403,18.12,6.3
4.42,18.08,7.8
4.437,18.05,9.4
4.453,18.03,10.6
4.47,17.99,11.7
4.487,17.99,12.5
4.503,17.98,13
4.52,17.98,13.3
4.537,17.98,13.3
4.553,17.98,13
4.57,17.99,12.6
4.587,18.02,11.7
4.603,18.01,10.7
4.62,18.02,9.4
4.637,18.05,8
4.653,18.07,6.4
4.67,18.08,4.6
4.687,18.11,2.7
4.703,18.16,0.9
4.72,18.16,-1.1
4.737,18.2,-3
4.753,18.22,-4.8
4.77,18.25,-6.6
4.787,18.26,-8.2
4.803,18.28,-9.8
4.82,18.3,-11.2
4.837,18.32,-12.3
4.853,18.32,-13.3
4.87,18.32,-14.1
4.887,18.34,-14.6
4.903,18.34,-14.9
4.92,18.34,-14.9
4.937,18.34,-14.6
4.953,18.33,-14.1
4.97,18.32,-13.4
4.987,18.33,-12.4
5.003,18.3,-11.2
